HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.327116 0.997846 0.001083 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.329692 1.004357 0.001105 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.331575 1.000424 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.332349 0.999891 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.332904 1.000516 0.001539 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.334875 0.998592 0.001500 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.335330 0.998882 0.001539 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.335794 0.999614 0.001533 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.336261 0.999427 0.001518 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.336721 0.998031 0.001534 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.337184 1.001134 0.001534 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.337685 1.000241 0.001517 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.338218 1.000157 0.001514 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.338688 1.001709 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.339152 0.997709 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.339615 1.000954 0.001539 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.340080 0.997143 0.001516 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.340546 1.000134 0.001515 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.341012 1.000844 0.001527 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.341478 0.999305 0.001527 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.341945 1.001906 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.342416 0.999522 0.001526 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.342885 1.000312 0.001522 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.343353 1.001058 0.001524 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.343823 1.000010 0.001513 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.344293 1.000750 0.001535 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.344768 0.997489 0.001506 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.345238 0.997893 0.001524 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.345711 1.001330 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.346183 1.001583 0.001518 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.346657 0.998585 0.001515 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.347131 1.001103 0.001522 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.347608 0.998302 0.001515 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.348085 1.002242 0.001529 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.348562 0.998453 0.001519 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.349040 0.998811 0.001516 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.349518 1.000225 0.001531 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.349998 1.001728 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.350480 0.997468 0.001516 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.350965 1.000910 0.001517 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.351449 1.001930 0.001525 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.351934 0.999615 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.352427 0.999709 0.001527 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.352912 1.001724 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.353401 0.999174 0.001524 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.353890 0.998757 0.001519 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.354380 0.996680 0.001510 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.354873 0.998460 0.001518 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.355365 1.000395 0.001511 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.355859 0.998861 0.001522 
