0               1         2               3         4     5          6          7      8           9         10        11        12        13        14        15        16    17    18        19        20       21    22                                                  23
2456895.396408  0.000688  2456895.395241  0.000000  448   0.001900   -0.001878  Clear  Database    0.017850  0.000619  0.086879  0.076617  0.001375  0.010262  0.002382  0.63  3.43  0.004327  1.005387  BC00000  0     data/exo/HAT-P-37/Database/2014-08-25_ETD-27/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456920.574554  0.000723  2456920.574541  0.000850  457   0.003122   -0.000703  Clear  Database    0.017929  0.000536  0.096021  0.081732  0.001446  0.014289  0.002504  0.30  9.54  0.007130  0.789157  BC00000  0     data/exo/HAT-P-37/Database/2014-09-19_ETD-28/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2456934.561155  0.000999  2456934.560741  0.001100  462   0.002543   -0.001307  Clear  Database    0.012256  0.000632  0.091324  0.082198  0.001998  0.009127  0.003461  0.84  3.41  0.004149  0.324435  BC00010  1     data/exo/HAT-P-37/Database/2014-10-03_ETD-31/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457127.587181  0.000429  2457127.586810  0.000490  531   0.005485   0.001279   Clear  Database    0.015137  0.000307  0.092062  0.081049  0.000858  0.011013  0.001486  0.44  2.69  0.002893  0.749342  BC00000  0     data/exo/HAT-P-37/Database/2015-04-15_ETD-33/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457155.557872  0.000675  2457155.557770  0.000730  541   0.001816   -0.002442  Clear  Database    0.018322  0.000550  0.092669  0.080060  0.001349  0.012609  0.002337  0.56  4.55  0.004956  1.484795  BC00000  0     data/exo/HAT-P-37/Database/2015-05-12_ETD-34/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457169.547845  0.000707  2457169.547800  0.000760  546   0.004609   0.000326   Clear  Database    0.016717  0.000499  0.094107  0.080099  0.001414  0.014008  0.002448  0.53  4.02  0.004538  0.967390  BC00000  0     data/exo/HAT-P-37/Database/2015-05-26_ETD-35/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457239.482682  0.000426  2457239.483321  0.000420  571   0.003546   -0.000866  Clear  Database    0.020581  0.000294  0.102516  0.080412  0.000853  0.022104  0.001477  1.65  0.71  0.001363  1.183365  BC00000  0     data/exo/HAT-P-37/Database/2015-08-04_ETD-40/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457239.484146  0.000781  2457239.484531  0.001350  571   0.005010   0.000598   R      Database    0.024009  0.000638  0.106709  0.086834  0.001561  0.019875  0.002704  1.39  1.36  0.002666  0.665965  BC00000  0     data/exo/HAT-P-37/Database/2015-08-04_ETD-41/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457253.476179  0.001348  2457253.476041  0.001190  576   0.009863   0.005425   Clear  Database    0.018452  0.001048  0.093247  0.078987  0.002696  0.014260  0.004669  1.10  1.20  0.003629  1.008038  BC00001  1     xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx  yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
2457457.678356  0.002481  2457457.679409  0.001490  649   -0.000788  -0.005602  Clear  Database    0.020886  0.001766  0.098363  0.075577  0.004963  0.022786  0.008596  1.95  2.45  0.005398  0.343534  BC00001  1     data/exo/HAT-P-37/Database/2016-03-09_ETD-43/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457471.670242  0.001317  2457471.669719  0.001550  654   0.003918   -0.000922  Clear  Database    0.016131  0.001014  0.093532  0.082964  0.002633  0.010568  0.004561  1.05  2.48  0.004751  0.274272  BC00000  0     data/exo/HAT-P-37/Database/2016-03-23_ETD-44/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457530.417127  0.000312  2457530.417088  0.000380  675   0.004647   -0.000301  Clear  Database    0.017587  0.000261  0.092185  0.081364  0.000623  0.010821  0.001079  0.61  1.17  0.001775  1.342038  BC00000  0     data/exo/HAT-P-37/Database/2016-05-21_ETD-46/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457541.606709  0.000932  2457541.606468  0.000900  679   0.004485   -0.000484  Clear  Database    0.018298  0.000647  0.096293  0.078611  0.001864  0.017682  0.003228  1.07  1.55  0.002979  0.150394  BC00000  0     data/exo/HAT-P-37/Database/2016-06-01_ETD-47/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457541.609226  0.000999  2457541.608128  0.001280  679   0.007002   0.002033   Clear  Database    0.019190  0.000728  0.097988  0.080844  0.001998  0.017144  0.003461  1.08  1.47  0.003412  0.192864  BC00000  0     data/exo/HAT-P-37/Database/2016-06-01_ETD-48/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457544.405204  0.000500  2457544.405248  0.000710  680   0.005544   0.000570   Clear  Database    0.018505  0.000406  0.094856  0.082244  0.001000  0.012612  0.001731  0.27  3.00  0.004007  2.914769  BC00000  0     data/exo/HAT-P-37/Database/2016-06-04_ETD-49/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457569.580068  0.001038  2457569.579918  0.001070  689   0.003484   -0.001536  Clear  Database    0.015879  0.000718  0.095050  0.082221  0.002076  0.012829  0.003595  1.35  2.04  0.004019  0.178237  BC00000  0     data/exo/HAT-P-37/Database/2016-06-29_ETD-50/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457597.552484  0.000470  2457597.551848  0.000850  699   0.001540   -0.003532  V      Database    0.018135  0.000324  0.096192  0.078494  0.000940  0.017699  0.001629  0.58  1.42  0.002251  0.178349  BC00001  1     data/exo/HAT-P-37/Database/2016-07-19_ETD-51/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457625.531345  0.000299  2457625.531237  0.000340  709   0.006041   0.000918   Clear  Database    0.018288  0.000219  0.096864  0.081507  0.000598  0.015357  0.001035  0.75  1.04  0.001526  1.938258  BC00000  0     data/exo/HAT-P-37/Database/2016-08-24_ETD-52/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457628.326236  0.000409  2457628.326707  0.000460  710   0.003496   -0.001632  Clear  Database    0.019326  0.000293  0.100664  0.083235  0.000817  0.017429  0.001415  0.67  2.61  0.002756  1.624106  BC00000  0     data/exo/HAT-P-37/Database/2016-08-27_ETD-53/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457854.918734  0.001000  2457854.919886  0.001370  791   0.003678   -0.001868  V      Database    0.018738  0.000716  0.109042  0.094541  0.002001  0.014501  0.003465  0.58  3.18  0.005176  0.597049  BC00000  0     data/exo/HAT-P-37/Database/2017-04-11_ETD-55/       http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457854.922428  0.000876  2457854.921576  0.000980  791   0.007372   0.001826   Clear  Database    0.021512  0.000681  0.101558  0.083128  0.001753  0.018430  0.003036  0.98  6.10  0.007029  1.457286  BC00000  0     data/exo/HAT-P-37/Database/ETD-56/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457882.894697  0.000546  2457882.894606  0.000690  801   0.005281   -0.000316  Clear  Database    0.017637  0.000465  0.090852  0.080175  0.001092  0.010677  0.001891  0.77  4.50  0.004821  0.207172  BC00000  0     data/exo/HAT-P-37/Database/ETD-57/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457902.475840  0.000763  2457902.475356  0.000760  808   0.004372   -0.001261  R      Database    0.019048  0.000707  0.088960  0.078146  0.001526  0.010814  0.002643  0.56  1.15  0.002712  2.095179  BC00000  0     data/exo/HAT-P-37/Database/ETD-58/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457902.476066  0.001707  2457902.475786  0.000560  808   0.004598   -0.001035  Clear  Database    0.017996  0.001111  0.102871  0.084836  0.003415  0.018036  0.005914  1.63  0.93  0.002263  2.019444  BC00000  0     data/exo/HAT-P-37/Database/ETD-59/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457902.478596  0.000582  2457902.478496  0.000700  808   0.007128   0.001495   Clear  Database    0.022674  0.000633  0.087331  0.075877  0.001164  0.011454  0.002016  0.95  2.18  0.003540  2.312036  BC00000  0     data/exo/HAT-P-37/Database/ETD-60/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457916.465351  0.000300  2457916.464685  0.000350  813   0.006703   0.001044   Clear  Database    0.020628  0.000229  0.099278  0.081399  0.000600  0.017878  0.001039  1.24  1.24  0.001827  0.787152  BC00000  0     data/exo/HAT-P-37/Database/ETD-62/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457916.466455  0.000671  2457916.466205  0.000760  813   0.007807   0.002148   Clear  Database    0.017786  0.000525  0.093253  0.080361  0.001343  0.012892  0.002326  1.63  1.27  0.002681  0.698939  BC00000  0     data/exo/HAT-P-37/Database/ETD-63/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457938.843569  0.000878  2457938.842805  0.001030  821   0.005433   -0.000267  Clear  Database    0.020433  0.000757  0.095193  0.081393  0.001756  0.013800  0.003042  0.79  6.01  0.007655  0.308451  BC00000  0     data/exo/HAT-P-37/Database/ETD-65/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2457952.831267  0.000498  2457952.831085  0.000530  826   0.005951   0.000225   Clear  Database    0.019475  0.000383  0.095461  0.079266  0.000996  0.016195  0.001724  0.55  2.15  0.002816  0.974400  BC00000  0     data/exo/HAT-P-37/Database/ETD-66/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458008.778075  0.000861  2458008.778634  0.000820  846   0.004039   -0.001790  Clear  Database    0.020708  0.000625  0.102149  0.082421  0.001721  0.019728  0.002981  0.83  5.93  0.006490  0.226821  BC00000  0     data/exo/HAT-P-37/Database/ETD-67/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458028.362562  0.000384  2458028.362484  0.000420  853   0.006474   0.000609   Clear  Database    0.020022  0.000306  0.097979  0.082692  0.000769  0.015288  0.001332  0.57  1.24  0.001865  0.819823  BC00000  0     data/exo/HAT-P-37/Database/ETD-68/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458028.363076  0.000902  2458028.363404  0.001170  853   0.006988   0.001123   Clear  Database    0.018459  0.000745  0.097323  0.085650  0.001805  0.011673  0.003126  0.21  6.06  0.007286  0.788112  BC00000  0     data/exo/HAT-P-37/Database/ETD-69/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458042.349220  0.000256  2458042.349124  0.000280  858   0.005952   0.000061   I      Database    0.020433  0.000211  0.095267  0.079945  0.000512  0.015322  0.000887  1.03  2.04  0.002098  1.309992  BC00000  0     data/exo/HAT-P-37/Database/ETD-70/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458056.336633  0.001201  2458056.335694  0.001270  863   0.006185   0.000268   Clear  Database    0.017199  0.000829  0.097794  0.082797  0.002402  0.014997  0.004160  0.47  3.91  0.005753  0.248283  BC00000  0     data/exo/HAT-P-37/Database/ETD-71/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458277.333405  0.000637  2458277.334001  0.000700  942   0.005513   -0.000811  Clear  Database    0.021170  0.000449  0.106500  0.085368  0.001274  0.021132  0.002206  0.92  3.87  0.004253  0.064002  BC00000  0     data/exo/HAT-P-37/Database/ETD-74/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458288.523193  0.000766  2458288.523171  0.000720  946   0.005557   -0.000787  Clear  Database    0.019824  0.000573  0.096525  0.078673  0.001532  0.017852  0.002654  0.90  1.47  0.002955  0.100157  BC00000  0     data/exo/HAT-P-37/Database/ETD-75/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458288.524950  0.000378  2458288.525271  0.000420  946   0.007314   0.000970   I      Database    0.031100  0.000317  0.107949  0.066264  0.000757  0.041685  0.001311  1.08  1.40  0.002071  1.798702  BC00010  1     data/exo/HAT-P-37/Database/ETD-76/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
2458291.322486  0.000527  2458291.322001  0.000580  947   0.007414   0.001065   Clear  Database    0.021239  0.000414  0.097951  0.079632  0.001053  0.018319  0.001824  0.57  3.32  0.003707  3.650782  BC00000  0     data/exo/HAT-P-37/Database/ETD-77/                  http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b
