0               1         2               3         4     5          6          7      8           9         10        11        12        13        14        15        16    17     18        19           20       21    22                                                               23
2456239.352343  0.000465  2456239.352274  0.000500  846   -0.000795  -0.001842  V      Database    0.022244  0.000333  0.130157  0.113081  0.000929  0.017076  0.001610  0.78  1.06   0.002021  1.418739     BC00000  0     data/exo/HAT-P-32/Database/2018-12-11_ETD36/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456239.352343  0.000465  2456239.352274  0.000500  846   -0.000795  -0.001842  V      Database    0.022244  0.000333  0.130157  0.113081  0.000929  0.017076  0.001610  0.78  1.06   0.002021  1.418739     BC00000  0     data/exo/HAT-P-32/Database/2018-12-11_ETD36/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456239.354670  0.000482  2456239.355044  0.000540  846   0.001532   0.000485   V      Database    0.022645  0.000337  0.131667  0.113127  0.000965  0.018540  0.001671  1.27  1.69   0.002655  0.126715     BC00000  0     data/exo/HAT-P-32/Database/2018-12-11_ETD38/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456243.652840  0.000844  2456243.652804  0.000900  848   -0.000314  -0.001362  V      Database    0.026306  0.000615  0.136649  0.113762  0.001688  0.022887  0.002923  1.39  1.70   0.003404  3.214024     BC00010  1     data/exo/HAT-P-32/Database/2012-11-21_ETD39/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456243.653506  0.000848  2456243.652804  0.000900  848   0.000352   -0.000696  V      Database    0.026594  0.000613  0.138405  0.114842  0.001695  0.023564  0.002936  1.17  1.69   0.003390  3.197354     BC00010  1     data/exo/HAT-P-32/Database/2012-11-12_ETD40/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456254.402589  0.000602  2456254.402184  0.000580  853   -0.000605  -0.001654  V      Database    0.021854  0.000419  0.131767  0.114624  0.001203  0.017144  0.002084  1.43  1.33   0.002421  1.416174     BC00000  0     data/exo/HAT-P-32/Database/2012-11-28_ETD41/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456297.399719  0.000678  2456297.399645  0.000670  873   -0.003635  -0.004692  B      Database    0.025551  0.000483  0.134445  0.111366  0.001355  0.023079  0.002348  1.14  1.51   0.002857  0.084224     BC00001  1     data/exo/HAT-P-32/Database/2018-12-11_ETD42/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456297.402075  0.000345  2456297.400885  0.000360  873   -0.001279  -0.002336  Clear  Database    0.021445  0.000233  0.129666  0.111631  0.000690  0.018035  0.001196  0.85  1.59   0.002224  0.142211     BC00001  1     data/exo/HAT-P-32/Database/2013-01-04_ETD44/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456514.555951  0.000587  2456514.556068  0.000650  974   0.001789   0.000692   V      Database    0.025858  0.000460  0.134493  0.115675  0.001175  0.018818  0.002035  0.84  2.12   0.003650  0.221551     BC00010  1     data/exo/HAT-P-32/Database/2013-08-21_ETD46/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456527.455858  0.000282  2456527.456019  0.000300  980   0.001648   0.000548   R      Database    0.022319  0.000209  0.126253  0.109676  0.000565  0.016576  0.000978  0.55  1.50   0.002058  4.136535     BC00000  0     data/exo/HAT-P-32/Database/2013-09-03_ETD47/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456557.555187  0.000525  2456557.555119  0.000550  994   0.000865   -0.000240  R      Database    0.024238  0.000371  0.134859  0.114352  0.001049  0.020507  0.001818  0.74  2.17   0.003049  0.239962     BC00000  0     data/exo/HAT-P-32/Database/2013-09-23_ETD50/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456557.555025  0.000525  2456557.555199  0.000530  994   0.000703   -0.000402  B      Database    0.021320  0.000367  0.129017  0.112411  0.001051  0.016606  0.001820  0.56  1.56   0.002838  0.204646     BC00000  0     data/exo/HAT-P-32/Database/2018-12-11_ETD51/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456559.705579  0.000243  2456559.705349  0.000330  995   0.001249   0.000143   Clear  Database    0.022479  0.000176  0.129953  0.112837  0.000485  0.017116  0.000840  0.22  3.68   0.002812  2.184428     BC00000  0     data/exo/HAT-P-32/Database/2013-09-30_ETD52/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456585.506590  0.000298  2456585.504870  0.000280  1007  0.002164   0.001053   Clear  Database    0.024882  0.000218  0.126695  0.104659  0.000596  0.022037  0.001032  1.47  2.12   0.002516  0.079309     BC00000  0     data/exo/HAT-P-32/Database/2013-10-24_ETD55/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456600.555862  0.000326  2456600.555721  0.000400  1014  0.001380   0.000267   Clear  Database    0.024534  0.000235  0.134002  0.113709  0.000651  0.020293  0.001128  0.30  6.90   0.004444  3.360075     BC00000  0     data/exo/HAT-P-32/Database/2013-11-06_ETD56/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456604.855739  0.000399  2456604.855341  0.000680  1016  0.001241   0.000127   B      Database    0.021242  0.000276  0.129816  0.113134  0.000799  0.016682  0.001384  0.84  1.20   0.001973  0.376285     BC00000  0     data/exo/HAT-P-32/Database/2013-11-08_ETD58/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456615.608877  0.000338  2456615.607801  0.000340  1021  0.004339   0.003223   V      Database    0.024362  0.000225  0.135252  0.111230  0.000676  0.024022  0.001172  1.18  4.46   0.003686  0.264128     BC00001  1     data/exo/HAT-P-32/Database/2013-11-21_ETD60/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456617.755890  0.000406  2456617.755702  0.000470  1022  0.001344   0.000227   Clear  Database    0.021370  0.000289  0.126431  0.110141  0.000811  0.016289  0.001405  0.38  4.25   0.003902  1.030698     BC00000  0     data/exo/HAT-P-32/Database/2014-01-09_ETD61/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456641.405554  0.000537  2456641.405302  0.000550  1033  0.000920   -0.000201  V      Database    0.020141  0.000354  0.130336  0.113972  0.001073  0.016364  0.001859  0.79  2.98   0.003764  0.165072     BC00000  0     data/exo/HAT-P-32/Database/2014-01-09_ETD65/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456656.455744  0.000341  2456656.455433  0.000420  1040  0.001054   -0.000070  Clear  Database    0.023777  0.000259  0.128186  0.110427  0.000683  0.017759  0.001183  0.44  2.83   0.003141  2.166418     BC00000  0     data/exo/HAT-P-32/Database/2013-12-29_ETD66/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456656.458361  0.000644  2456656.457573  0.000600  1040  0.003671   0.002547   I      Database    0.029027  0.000468  0.142261  0.114387  0.001288  0.027874  0.002232  2.22  2.41   0.003586  0.196834     BC00011  1     data/exo/HAT-P-32/Database/2014-02-06_ETD67/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456959.606872  0.000204  2456959.606412  0.000250  1181  0.001054   -0.000126  Clear  Database    0.023308  0.000153  0.129163  0.111883  0.000407  0.017280  0.000705  1.26  2.13   0.002041  521.784260   BC00000  0     data/exo/HAT-P-32/Database/2015-08-11_ETD76/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2456998.307176  0.000281  2456998.306883  0.000310  1199  0.001214   0.000027   R      Database    0.022885  0.000205  0.130695  0.113305  0.000562  0.017390  0.000973  0.58  1.13   0.001642  0.846328     BC00000  0     data/exo/HAT-P-32/Database/2015-07-22_ETD79/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457013.358395  0.000361  2457013.357384  0.000390  1206  0.002377   0.001187   V      Database    0.023960  0.000273  0.131221  0.113454  0.000722  0.017766  0.001251  0.79  2.32   0.002777  0.136053     BC00000  0     data/exo/HAT-P-32/Database/2015-07-22_ETD80/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457245.558920  0.000265  2457245.558432  0.000340  1314  0.002038   0.000806   Clear  Database    0.022969  0.000191  0.131979  0.114119  0.000530  0.017859  0.000918  0.56  1.62   0.001944  7.963934     BC00000  0     data/exo/HAT-P-32/Database/2015-08-11_ETD86/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457286.407075  0.000309  2457286.407843  0.000350  1333  0.000041   -0.001199  R      Database    0.024731  0.000215  0.136345  0.114039  0.000619  0.022306  0.001072  0.88  2.38   0.002372  1.640636     BC00000  0     data/exo/HAT-P-32/Database/2015-10-16_ETD87/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457303.605363  0.000506  2457303.606634  0.000460  1341  -0.001735  -0.002978  R      Database    0.018704  0.000320  0.128095  0.112525  0.001013  0.015570  0.001754  2.06  2.00   0.003018  19.507174    BC00011  1     data/exo/HAT-P-32/Database/2015-10-16_ETD89/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457342.304542  0.000483  2457342.304325  0.000560  1359  -0.002700  -0.003950  R      Database    0.020825  0.000328  0.129908  0.113357  0.000966  0.016551  0.001673  0.73  1.30   0.002180  4.983281     BC00001  1     data/exo/HAT-P-32/Database/2015-11-15_ETD93/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
2457342.309398  0.000483  2457342.309175  0.000510  1359  0.002156   0.000906   R      Database    0.020845  0.000329  0.129915  0.113357  0.000966  0.016558  0.001673  0.65  1.28   0.002182  4.991596     BC00000  0     data/exo/HAT-P-32/Database/2015-11-23_ETD94/                     http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b
